"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 30 03:44:01 UTC 2023","Sat Dec 30 03:44:06 UTC 2023","4297","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Dec 30 02:37:41 UTC 2023","Sat Dec 30 02:37:44 UTC 2023","3512","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Dec 30 02:45:43 UTC 2023","Sat Dec 30 02:45:49 UTC 2023","6686","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Dec 30 02:26:41 UTC 2023","Sat Dec 30 02:26:46 UTC 2023","4973","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sat Dec 30 02:31:37 UTC 2023","Sat Dec 30 02:31:57 UTC 2023","19384","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Dec 30 03:15:50 UTC 2023","Sat Dec 30 03:16:15 UTC 2023","25455","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Dec 30 02:27:49 UTC 2023","Sat Dec 30 02:27:54 UTC 2023","5577","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Dec 30 02:43:33 UTC 2023","Sat Dec 30 02:43:35 UTC 2023","1838","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Dec 30 02:49:20 UTC 2023","Sat Dec 30 02:49:22 UTC 2023","1678","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Dec 30 03:16:15 UTC 2023","Sat Dec 30 03:16:17 UTC 2023","2417","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Dec 30 03:21:05 UTC 2023","Sat Dec 30 03:21:07 UTC 2023","1346","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Dec 30 02:27:28 UTC 2023","Sat Dec 30 02:27:49 UTC 2023","20286","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Dec 30 03:32:35 UTC 2023","Sat Dec 30 03:32:38 UTC 2023","3219","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Dec 30 03:32:38 UTC 2023","Sat Dec 30 03:32:40 UTC 2023","2201","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Dec 30 03:49:40 UTC 2023","Sat Dec 30 03:49:48 UTC 2023","7639","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sat Dec 30 02:25:51 UTC 2023","Sat Dec 30 02:26:18 UTC 2023","26757","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Dec 30 03:49:48 UTC 2023","Sat Dec 30 03:50:07 UTC 2023","19755","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Dec 30 02:25:42 UTC 2023","Sat Dec 30 02:25:51 UTC 2023","9399","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Dec 30 03:15:38 UTC 2023","Sat Dec 30 03:15:39 UTC 2023","251","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Dec 30 03:37:16 UTC 2023","Sat Dec 30 03:41:29 UTC 2023","252915","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Dec 30 03:27:14 UTC 2023","Sat Dec 30 03:28:14 UTC 2023","59952","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat Dec 30 02:24:08 UTC 2023","Sat Dec 30 02:24:30 UTC 2023","22772","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Dec 30 02:45:49 UTC 2023","Sat Dec 30 02:45:55 UTC 2023","5168","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Dec 30 03:49:48 UTC 2023","Sat Dec 30 03:49:48 UTC 2023","20","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sat Dec 30 02:37:26 UTC 2023","Sat Dec 30 02:37:29 UTC 2023","2927","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 30 02:35:40 UTC 2023","Sat Dec 30 02:35:47 UTC 2023","7090","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Dec 30 02:23:49 UTC 2023","Sat Dec 30 02:24:08 UTC 2023","18838","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 30 02:41:34 UTC 2023","Sat Dec 30 02:42:30 UTC 2023","56163","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Dec 30 02:31:57 UTC 2023","Sat Dec 30 02:32:03 UTC 2023","6796","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Dec 30 03:33:07 UTC 2023","Sat Dec 30 03:33:18 UTC 2023","11091","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Dec 30 03:26:32 UTC 2023","Sat Dec 30 03:26:43 UTC 2023","11362","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Dec 30 03:47:33 UTC 2023","Sat Dec 30 03:47:42 UTC 2023","8737","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Dec 30 03:21:01 UTC 2023","Sat Dec 30 03:21:05 UTC 2023","4818","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Dec 30 03:52:31 UTC 2023","Sat Dec 30 03:52:36 UTC 2023","4880","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sat Dec 30 02:33:26 UTC 2023","Sat Dec 30 02:33:30 UTC 2023","4013","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Dec 30 03:52:36 UTC 2023","Sat Dec 30 03:52:43 UTC 2023","6826","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Dec 30 02:42:36 UTC 2023","Sat Dec 30 02:42:39 UTC 2023","2680","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Dec 30 02:39:56 UTC 2023","Sat Dec 30 02:40:15 UTC 2023","19091","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Dec 30 02:36:11 UTC 2023","Sat Dec 30 02:36:17 UTC 2023","6564","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Dec 30 03:27:13 UTC 2023","Sat Dec 30 03:27:14 UTC 2023","1737","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Dec 30 03:46:05 UTC 2023","Sat Dec 30 03:46:06 UTC 2023","937","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Dec 30 03:50:33 UTC 2023","Sat Dec 30 03:50:37 UTC 2023","3473","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sat Dec 30 02:46:21 UTC 2023","Sat Dec 30 02:46:24 UTC 2023","2387","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 30 03:37:00 UTC 2023","Sat Dec 30 03:37:16 UTC 2023","15987","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Dec 30 02:25:26 UTC 2023","Sat Dec 30 02:25:42 UTC 2023","15699","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Dec 30 03:15:39 UTC 2023","Sat Dec 30 03:15:50 UTC 2023","10905","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Dec 30 02:49:22 UTC 2023","Sat Dec 30 02:49:22 UTC 2023","362","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Dec 30 02:30:53 UTC 2023","Sat Dec 30 02:31:11 UTC 2023","17499","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 30 02:24:30 UTC 2023","Sat Dec 30 02:24:56 UTC 2023","25296","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sat Dec 30 03:18:39 UTC 2023","Sat Dec 30 03:18:55 UTC 2023","16188","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Dec 30 03:47:42 UTC 2023","Sat Dec 30 03:48:03 UTC 2023","20992","","21. Forgot password function","","","","2. Reset password",""
"passed","Sat Dec 30 03:45:44 UTC 2023","Sat Dec 30 03:45:51 UTC 2023","6800","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Dec 30 02:39:26 UTC 2023","Sat Dec 30 02:39:43 UTC 2023","16286","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 30 03:16:19 UTC 2023","Sat Dec 30 03:16:30 UTC 2023","11246","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Dec 30 02:41:30 UTC 2023","Sat Dec 30 02:41:34 UTC 2023","4020","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 30 02:46:24 UTC 2023","Sat Dec 30 02:46:43 UTC 2023","19702","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Dec 30 03:32:46 UTC 2023","Sat Dec 30 03:32:48 UTC 2023","2346","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Sat Dec 30 02:24:30 UTC 2023","Sat Dec 30 02:24:30 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Dec 30 03:50:37 UTC 2023","Sat Dec 30 03:50:41 UTC 2023","4359","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sat Dec 30 03:18:57 UTC 2023","Sat Dec 30 03:19:18 UTC 2023","20825","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Dec 30 02:32:04 UTC 2023","Sat Dec 30 02:32:10 UTC 2023","6658","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sat Dec 30 03:16:30 UTC 2023","Sat Dec 30 03:16:31 UTC 2023","763","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Dec 30 03:46:02 UTC 2023","Sat Dec 30 03:46:04 UTC 2023","1826","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Dec 30 03:26:46 UTC 2023","Sat Dec 30 03:26:49 UTC 2023","2744","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Dec 30 02:48:43 UTC 2023","Sat Dec 30 02:48:54 UTC 2023","10659","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 30 02:46:05 UTC 2023","Sat Dec 30 02:46:10 UTC 2023","4254","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Dec 30 03:20:59 UTC 2023","Sat Dec 30 03:21:01 UTC 2023","1250","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat Dec 30 03:45:28 UTC 2023","Sat Dec 30 03:45:44 UTC 2023","15162","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sat Dec 30 02:33:39 UTC 2023","Sat Dec 30 02:33:39 UTC 2023","574","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Dec 30 02:45:55 UTC 2023","Sat Dec 30 02:46:05 UTC 2023","10803","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 30 02:37:29 UTC 2023","Sat Dec 30 02:37:41 UTC 2023","11228","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sat Dec 30 03:49:24 UTC 2023","Sat Dec 30 03:49:40 UTC 2023","15815","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Dec 30 02:48:31 UTC 2023","Sat Dec 30 02:48:39 UTC 2023","7834","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Dec 30 02:48:54 UTC 2023","Sat Dec 30 02:48:56 UTC 2023","2687","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Dec 30 02:49:08 UTC 2023","Sat Dec 30 02:49:11 UTC 2023","3021","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Dec 30 02:35:52 UTC 2023","Sat Dec 30 02:36:10 UTC 2023","18835","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Dec 30 02:31:33 UTC 2023","Sat Dec 30 02:31:37 UTC 2023","4134","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Dec 30 03:32:40 UTC 2023","Sat Dec 30 03:32:43 UTC 2023","2553","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Dec 30 02:42:30 UTC 2023","Sat Dec 30 02:42:32 UTC 2023","2096","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Dec 30 02:48:39 UTC 2023","Sat Dec 30 02:48:43 UTC 2023","3907","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Dec 30 02:51:07 UTC 2023","Sat Dec 30 02:52:18 UTC 2023","71010","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Dec 30 03:46:04 UTC 2023","Sat Dec 30 03:46:05 UTC 2023","1056","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Dec 30 03:50:07 UTC 2023","Sat Dec 30 03:50:33 UTC 2023","25743","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sat Dec 30 02:37:44 UTC 2023","Sat Dec 30 02:37:45 UTC 2023","446","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Dec 30 03:32:48 UTC 2023","Sat Dec 30 03:32:50 UTC 2023","2243","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sat Dec 30 02:24:56 UTC 2023","Sat Dec 30 02:25:18 UTC 2023","21789","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sat Dec 30 03:16:17 UTC 2023","Sat Dec 30 03:16:19 UTC 2023","1246","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Dec 30 03:45:51 UTC 2023","Sat Dec 30 03:46:02 UTC 2023","10878","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sat Dec 30 02:46:43 UTC 2023","Sat Dec 30 02:46:45 UTC 2023","2006","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Dec 30 03:51:23 UTC 2023","Sat Dec 30 03:52:31 UTC 2023","68061","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sat Dec 30 03:26:49 UTC 2023","Sat Dec 30 03:27:13 UTC 2023","23455","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 30 02:35:47 UTC 2023","Sat Dec 30 02:35:52 UTC 2023","4783","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Dec 30 03:32:51 UTC 2023","Sat Dec 30 03:33:07 UTC 2023","16399","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Dec 30 02:39:51 UTC 2023","Sat Dec 30 02:39:56 UTC 2023","4226","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Dec 30 02:46:45 UTC 2023","Sat Dec 30 02:46:46 UTC 2023","388","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Dec 30 03:51:05 UTC 2023","Sat Dec 30 03:51:23 UTC 2023","18693","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sat Dec 30 03:45:51 UTC 2023","Sat Dec 30 03:45:51 UTC 2023","322","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Dec 30 03:43:59 UTC 2023","Sat Dec 30 03:44:01 UTC 2023","2730","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Dec 30 02:33:30 UTC 2023","Sat Dec 30 02:33:30 UTC 2023","252","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Dec 30 03:15:25 UTC 2023","Sat Dec 30 03:15:38 UTC 2023","13471","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Dec 30 02:35:23 UTC 2023","Sat Dec 30 02:35:40 UTC 2023","16361","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 30 02:53:52 UTC 2023","Sat Dec 30 02:54:09 UTC 2023","16899","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Dec 30 02:25:18 UTC 2023","Sat Dec 30 02:25:26 UTC 2023","8618","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Dec 30 03:32:24 UTC 2023","Sat Dec 30 03:32:35 UTC 2023","11094","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Dec 30 03:32:43 UTC 2023","Sat Dec 30 03:32:46 UTC 2023","3075","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Dec 30 02:42:39 UTC 2023","Sat Dec 30 02:43:33 UTC 2023","53893","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sat Dec 30 03:43:49 UTC 2023","Sat Dec 30 03:43:59 UTC 2023","9688","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Dec 30 02:33:30 UTC 2023","Sat Dec 30 02:33:39 UTC 2023","8728","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Dec 30 02:49:11 UTC 2023","Sat Dec 30 02:49:20 UTC 2023","9805","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Dec 30 03:52:45 UTC 2023","Sat Dec 30 03:53:25 UTC 2023","39602","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Dec 30 02:42:32 UTC 2023","Sat Dec 30 02:42:36 UTC 2023","4096","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sat Dec 30 03:18:57 UTC 2023","Sat Dec 30 03:18:57 UTC 2023","206","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Dec 30 03:30:16 UTC 2023","Sat Dec 30 03:30:58 UTC 2023","42764","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Dec 30 03:33:18 UTC 2023","Sat Dec 30 03:33:20 UTC 2023","1876","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Dec 30 03:18:55 UTC 2023","Sat Dec 30 03:18:57 UTC 2023","1961","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Dec 30 03:26:43 UTC 2023","Sat Dec 30 03:26:46 UTC 2023","3002","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Dec 30 02:39:43 UTC 2023","Sat Dec 30 02:39:51 UTC 2023","8729","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sat Dec 30 02:31:11 UTC 2023","Sat Dec 30 02:31:33 UTC 2023","22338","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Dec 30 03:20:42 UTC 2023","Sat Dec 30 03:20:59 UTC 2023","16870","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Dec 30 02:27:54 UTC 2023","Sat Dec 30 02:28:51 UTC 2023","56770","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Dec 30 02:45:26 UTC 2023","Sat Dec 30 02:45:43 UTC 2023","16646","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 30 02:40:15 UTC 2023","Sat Dec 30 02:40:21 UTC 2023","6380","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Dec 30 02:48:16 UTC 2023","Sat Dec 30 02:48:31 UTC 2023","14825","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Dec 30 03:53:25 UTC 2023","Sat Dec 30 03:54:33 UTC 2023","68532","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Dec 30 03:52:43 UTC 2023","Sat Dec 30 03:52:45 UTC 2023","1589","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Dec 30 02:24:08 UTC 2023","Sat Dec 30 02:24:08 UTC 2023","29","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Dec 30 03:43:34 UTC 2023","Sat Dec 30 03:43:49 UTC 2023","14936","","19. Look Up Investment Account","","","","1. Log in using manager login",""
